street,length,width,sidewalk
3 tháng 2,1.0,21.0,2.0
30 tháng 4,1.2,21.0,7.5
alexandre yersin,0.27,7.5,5.0
an bắc 1,0.05,5.5,3.0
an bắc 2,0.14,5.5,2.0
an bắc 3,0.14,5.5,3.0
an bắc 4,0.145,5.5,3.0
an bắc 5,0.12,5.5,3.0
an cư 1,0.145,3.75,3.0
an cư 2,0.065,3.75,3.0
an cư 3,0.065,3.75,3.0
an cư 4,0.155,5.5,3.0
an cư 5,0.135,5.5,3.0
an cư 6,0.135,5.5,3.0
an cư 7,0.155,5.5,3.0
an dương vương,1.55,15.0,5.0
an hoà 1,0.27,7.5,4.0
an hoà 10,0.265,3.5,3.0
an hoà 11,0.1,3.5,3.0
an hoà 12,0.14,7.5,3.0
an hoà 2,0.16,5.5,3.0
an hoà 3,0.09,5.5,3.0
an hoà 4,0.275,7.5,4.0
an hoà 5,0.065,5.5,3.0
an hoà 6,0.13,5.5,3.0
an hoà 7,0.16,5.5,3.0
an hoà 8,0.13,5.5,3.0
an hoà 9,0.18,7.5,4.0
an hải 1,0.18,5.5,3.0
an hải 10,0.11,3.5,3.0
an hải 11,0.12,3.5,3.0
an hải 12,0.12,3.5,3.0
an hải 14,0.43,3.5,3.0
an hải 15,0.48,4.0,3.0
an hải 16,0.2,4.0,3.0
an hải 17,0.23,4.0,3.0
an hải 18,0.23,4.0,3.0
an hải 19,0.12,4.0,3.0
an hải 2,0.211,5.5,3.0
an hải 20,0.24,4.5,3.0
an hải 21,0.22,4.0,3.0
an hải 3,0.14,5.5,3.0
an hải 4,0.14,5.5,3.0
an hải 5,0.35,3.5,3.0
an hải 6,0.36,4.5,3.0
an hải 7,0.13,5.5,3.0
an hải 8,0.13,5.5,3.0
an hải 9,0.13,5.5,3.0
an hải bắc 1,0.08,3.75,2.0
an hải bắc 2,0.07,3.75,2.0
an hải bắc 3,0.08,3.75,2.0
an hải bắc 4,0.1,3.75,2.0
an hải bắc 5,0.05,3.75,2.0
an hải bắc 6,0.1,3.75,2.0
an hải bắc 7,0.085,5.5,3.0
an hải bắc 8,0.13,3.75,2.5
an mỹ,0.2,5.5,2.5
an mỹ 2,0.11,3.75,2.0
an mỹ 3,0.08,3.75,2.0
an mỹ 4,0.08,3.75,2.0
an mỹ 5,0.21,3.75,2.0
an mỹ 6,0.08,3.75,2.0
an mỹ 7,0.08,3.75,2.0
an mỹ 8,0.1,3.75,2.0
an nhơn 1,0.275,5.5,3.0
an nhơn 10,0.08,3.75,3.0
an nhơn 11,0.105,3.75,3.0
an nhơn 2,0.145,5.5,3.0
an nhơn 3,0.27,5.5,3.0
an nhơn 4,0.09,3.75,3.0
an nhơn 5,0.09,3.75,3.0
an nhơn 6,0.14,5.5,3.0
an nhơn 7,0.335,4.5,3.0
an nhơn 8,0.28,4.5,3.0
an nhơn 9,0.2,3.75,3.0
an ngãi 1,0.2,5.5,3.0
an ngãi 2,0.2,5.5,2.0
an ngãi 3,0.2,5.5,2.0
an ngãi 4,0.2,5.5,2.0
an ngãi 5,0.2,5.5,2.0
an ngãi 6,0.2,5.5,2.0
an ngãi 7,0.2,5.5,2.0
an ngãi 8,0.2,5.5,2.0
an ngãi 9,0.2,5.5,2.0
an nông,0.49,15.0,7.5
an thượng 1,0.17,5.5,3.0
an thượng 10,0.17,3.5,3.0
an thượng 11,0.17,5.5,3.0
an thượng 12,0.117,3.5,3.0
an thượng 14,0.266,3.5,3.0
an thượng 15,0.117,3.5,3.0
an thượng 16,0.22,3.5,3.0
an thượng 17,0.22,5.5,3.0
an thượng 18,0.25,3.5,3.0
an thượng 19,0.086,3.5,3.0
an thượng 2,0.17,7.5,4.5
an thượng 20,0.2,5.5,3.0
an thượng 21,0.26,4.5,3.0
an thượng 22,0.09,11.0,3.0
an thượng 23,0.15,5.5,3.0
an thượng 24,0.24,5.5,3.0
an thượng 26,0.2,5.5,3.0
an thượng 27,0.1,5.5,3.0
an thượng 28,0.1,5.5,3.0
an thượng 29,0.175,7.5,4.0
an thượng 3,0.17,7.5,4.5
an thượng 30,0.2,5.5,3.0
an thượng 31,0.12,5.5,3.0
an thượng 32,0.12,5.5,3.0
an thượng 33,0.12,5.5,3.0
an thượng 34,0.155,5.5,3.0
an thượng 35,0.27,6.5,3.5
an thượng 36,0.11,7.5,4.0
an thượng 37,0.17,5.5,3.0
an thượng 38,0.17,5.5,3.0
an thượng 39,0.17,5.5,3.0
an thượng 4,0.17,5.5,3.0
an thượng 40,0.15,5.5,3.0
an thượng 5,0.17,3.5,3.0
an thượng 6,0.17,5.5,3.0
an thượng 7,0.114,3.5,3.0
an thượng 8,0.114,3.5,3.0
an thượng 9,0.17,5.5,3.0
an trung 1,0.25,7.5,4.0
an trung 10,0.11,3.5,1.0
an trung 11,0.14,3.5,1.5
an trung 12,0.05,3.5,1.5
an trung 14,0.18,3.5,1.5
an trung 15,0.18,3.5,1.5
an trung 16,0.15,3.5,1.5
an trung 2,0.26,7.5,4.0
an trung 3,0.095,10.5,4.5
an trung 5,0.4,3.5,1.5
an trung 6,0.25,3.5,1.5
an trung 7,0.27,3.5,1.5
an trung 8,0.15,3.5,1.5
an trung 9,0.06,6.0,2.5
an trung đông 1,0.18,5.5,3.0
an trung đông 2,0.075,5.5,3.0
an trung đông 3,0.075,5.5,3.0
an trung đông 4,0.075,5.5,3.0
an trung đông 5,0.075,5.5,3.0
an trung đông 6,0.16,5.5,3.0
an tư công chúa,0.3,7.5,4.0
an vĩnh,0.1,5.5,3.0
an xuân,0.17,10.5,5.0
an xuân 1,0.1,5.5,4.5
an xuân 2,0.1,5.5,4.5
an đồn,0.17,7.5,4.0
an đồn 1,0.12,7.5,4.5
an đồn 2,0.15,7.5,4.5
an đồn 3,0.13,5.5,3.0
an đồn 4,0.18,7.5,4.5
an đồn 5,0.17,5.5,3.0
anh thơ,0.63,7.5,4.0
b1 - hồng phước,0.435,15.0,5.0
ba đình ,0.324,7.0,3.0
bàu hạc 1,0.115,5.5,2.5
bàu hạc 2,0.18,3.5,2.5
bàu hạc 3,0.065,3.5,2.5
bàu hạc 4,0.09,3.5,2.5
bàu hạc 5,0.175,3.5,2.5
bàu hạc 6,0.07,6.0,2.5
bàu hạc 7,180.0,4.0,1.0
bàu hạc 8,180.0,4.0,1.0
bàu nghè 1,0.2,5.5,2.0
bàu nghè 2,0.2,5.5,2.0
bàu nghè 3,0.2,5.5,2.0
bàu nghè 4,0.2,5.5,2.0
bàu nghè 5,0.2,7.5,2.0
bàu nghè 6,0.2,5.5,2.0
bàu nghè 7,0.2,5.5,2.0
bàu nghè 8,0.2,5.5,2.0
bàu nghè 9,0.2,5.5,2.0
bàu trảng 1,0.185,3.5,2.5
bàu trảng 2,0.135,3.5,2.5
bàu trảng 3,0.15,5.5,3.0
bàu trảng 4,0.17,5.5,3.0
bàu trảng 5,0.23,3.5,2.5
bàu trảng 6,0.28,5.5,3.0
bàu trảng 7,0.2,5.5,2.5
bình an 1,0.2,3.75,3.0
bình an 2,0.12,3.75,3.0
bình an 3,0.12,3.75,3.0
bình an 4,0.16,3.75,3.0
bình an 5,0.18,3.75,3.0
bình an 6,0.09,3.75,3.0
bà bang nhãn,0.35,5.5,0.5
bà nà - suối mơ,6.95,21.0,5.0
bà huyện thanh quan,0.99,11.25,2.0
bàu cầu 1,0.26,5.5,3.0
bàu cầu 10,0.085,5.5,3.0
bàu cầu 11,0.085,5.5,3.0
bàu cầu 12,0.285,5.5,3.0
bàu cầu 14,0.095,5.5,3.0
bàu cầu 15,0.285,5.5,3.0
bàu cầu 16,0.08,5.5,3.0
bàu cầu 17,0.12,5.5,3.0
bàu cầu 18,0.09,5.5,3.0
bàu cầu 19,0.12,5.5,3.0
bàu cầu 2,0.085,5.5,3.0
bàu cầu 3,0.3,5.5,3.0
bàu cầu 4,0.1,5.5,3.0
bàu cầu 5,0.1,5.5,3.0
bàu cầu 6,0.1,5.5,3.0
bàu cầu 7,0.1,5.5,3.0
bàu cầu 8,0.2,5.5,3.0
bàu cầu 9,0.1,5.5,3.0
bàu gia 1,0.155,5.5,3.0
bàu gia thượng 1,0.16,5.5,3.0
bàu gia thượng 2,0.3,5.5,3.0
bàu gia thượng 3,0.2,5.5,3.0
bàu gia thượng 4,0.12,7.5,3.0
bàu làng,0.3,5.5,2.75
bàu mạc 1,0.11,5.5,3.0
bàu mạc 10,0.1,5.5,3.0
bàu mạc 11,0.135,5.5,3.0
bàu mạc 12,0.14,7.5,4.5
bàu mạc 14,0.08,5.5,3.0
bàu mạc 15,0.14,5.5,3.0
bàu mạc 16,0.185,5.5,3.0
bàu mạc 2,0.23,5.5,3.0
bàu mạc 3,0.23,5.5,3.0
bàu mạc 4,0.215,5.5,3.0
bàu mạc 5,0.23,5.5,3.0
bàu mạc 6,0.18,5.5,3.0
bàu mạc 7,0.2,5.5,3.0
bàu mạc 8,0.22,5.5,3.0
bàu mạc 9,0.17,7.5,4.5
bàu mạc 23,0.2,15.0,3.0
bàu năng 1,0.38,5.5,3.0
bàu năng 10,0.14,5.5,3.0
bàu năng 11,0.38,7.5,4.0
bàu năng 12,0.25,5.5,3.0
bàu năng 14,0.1,5.5,3.0
bàu năng 2,0.2,5.5,3.0
bàu năng 3,0.2,7.5,4.5
bàu năng 4,0.09,5.5,3.0
bàu năng 5,0.09,5.5,3.0
bàu năng 6,0.09,5.5,3.0
bàu năng 7,0.14,5.5,3.0
bàu năng 8,0.1,5.5,3.0
bàu năng 9,0.1,5.5,3.0
bàu tràm 1,0.14,5.5,3.0
bàu tràm 2,0.14,5.5,3.0
bàu tràm 3,0.09,5.5,3.0
bàu tràm trung,0.13,5.5,3.0
bàu vàng 1,0.17,7.5,3.5
bàu vàng 2,0.12,7.5,3.0
bàu vàng 3,0.09,7.5,3.0
bàu vàng 4,0.14,7.5,3.0
bàu vàng 5,0.14,7.5,3.0
bàu vàng 6,0.135,7.5,3.0
bá giáng 1,0.11,5.5,3.0
bá giáng 10,0.12,5.5,3.0
bá giáng 11,0.12,5.5,3.0
bá giáng 12,0.165,5.5,3.0
bá giáng 14,0.11,5.5,3.5
bá giáng 2,0.11,5.5,3.0
bá giáng 3,0.11,5.5,3.0
bá giáng 4,0.11,5.5,3.0
bá giáng 5,0.11,5.5,3.0
bá giáng 6,0.11,5.5,3.0
bá giáng 7,0.11,5.5,3.0
bá giáng 8 ,0.09,5.5,3.0
bá giáng 9,0.12,5.5,3.0
bát nàn công chúa,0.35,5.5,3.0
bãi sậy,0.41,5.5,3.0
bình giã,0.135,7.5,4.0
bình hoà 1,0.135,3.5,3.0
bình hoà 10,0.15,10.5,4.0
bình hoà 11,0.2,5.5,3.0
bình hoà 12,0.14,5.5,3.0
bình hoà 2,0.19,3.5,3.0
bình hoà 3,0.12,3.5,3.0
bình hoà 4,0.12,6.0,3.0
bình hoà 5,0.295,3.5,3.0
bình hoà 6,0.11,3.5,3.0
bình hoà 7,0.07,3.5,3.0
bình hoà 8,0.105,3.5,3.0
bình hoà 9,0.19,3.5,3.0
bình hòa 14,0.195,3.75,2.0
bình kỳ,1.29,5.0,0.5
bình minh 1,0.135,5.5,3.0
bình minh 10,0.16,15.0,5.0
bình minh 2,0.1,5.5,3.0
bình minh 3,0.07,5.5,3.0
bình minh 4,0.14,15.0,5.0
bình minh 5,0.145,15.0,5.0
bình minh 6,0.16,15.0,5.0
bình minh 7,0.1,7.5,3.0
bình minh 8,0.16,15.0,5.0
bình minh 9,0.1,7.5,3.0
bình than,0.6,10.5,4.5
bình thái 1,0.55,5.5,0.0
bình thái 2,0.3,5.5,1.25
bình thái 3,0.28,5.5,1.25
bình thái 4,0.87,5.0,2.0
bùi bỉnh uyên,0.41,5.5,4.0
bùi chát,0.32,5.5,0.5
bùi cẩm hổ,0.49,5.5,3.0
bùi dương lịch,1.224,7.5,4.5
bùi giáng,0.57,7.5,3.0
bùi huy bích,0.715,5.5,3.0
bùi huy đáp,0.51,5.5,3.0
bùi hữu nghĩa,0.5,3.5,3.0
bùi kỷ,0.385,5.5,3.0
bùi lâm,0.27,4.5,3.0
bùi quốc hưng,0.58,21.0,0.0
bùi thế mỹ,0.47,7.5,4.0
bùi thị xuân,0.5,7.5,2.5
bùi tá hán,1.04,15.0,5.0
bùi tấn diên,0.98,10.5,3.0
bùi viện,1.075,5.5,3.0
bùi vịnh,0.89,6.5,3.5
bùi xuân phái,0.15,7.5,3.0
bùi xương trạch,0.48,5.5,3.0
bùi xương tự,0.29,7.5,4.0
bạch thái bưởi,0.285,5.5,3.0
bạch đằng,3.712,15.0,9.0
bắc sơn,1.348,7.5,4.5
bắc đẩu,0.35,5.5,2.0
bế văn đàn,1.025,5.5,3.0
ca văn thỉnh,0.25,5.5,3.0
cao bá nhạ,0.13,5.5,3.0
cao bá quát,0.49,5.5,2.5
cao bá đạt,0.59,5.5,3.0
cao hồng lãnh,1.27,10.5,5.0
cao lỗ,0.152,5.5,3.0
cao sơn 1,0.07,11.0,3.0
cao sơn 2,0.12,5.5,3.0
cao sơn 3,0.12,5.5,3.0
cao sơn 4,0.1,5.5,3.0
cao sơn 5,0.13,5.5,3.0
cao sơn 6,0.115,5.5,3.0
cao sơn 7,0.105,5.5,3.0
cao sơn 8,0.17,5.5,3.0
cao sơn pháo,0.64,7.5,4.5
cao thắng,0.4,9.0,2.0
cao xuân dục,0.48559,5.5,3.0
cao xuân huy,0.3,5.5,3.0
chi lăng,0.33,13.0,5.0
chu cẩm phong,0.39,7.5,3.0
chu huy mân,1.78,21.0,4.5
chu lai,0.41,5.5,3.0
chu mạnh trinh,0.3,5.5,3.0
chu văn an,0.181,7.5,3.0
châu thượng văn,0.45,5.0,2.5
châu thị vĩnh tế,1.029,7.5,4.5
châu văn liêm,0.6,4.3,0.0
chúc động,0.9,5.5,3.0
chơn tâm 1,0.29,5.5,3.0
chơn tâm 10,0.245,5.5,3.0
chơn tâm 11,0.125,5.5,3.0
chơn tâm 12,0.09,5.5,3.0
chơn tâm 2,0.35,5.5,3.0
chơn tâm 3,0.16,5.5,3.0
chơn tâm 4,0.18,5.5,3.0
chơn tâm 5,0.19,5.5,3.0
chơn tâm 6,0.23,5.5,3.0
chơn tâm 7,0.11,5.5,3.0
chơn tâm 8,0.39,5.5,3.0
chơn tâm 9,0.18,5.5,3.0
chương dương,2.93,15.0,6.0
chế lan viên,1.22,7.5,3.0
cách mạng tháng tám,3.0,21.0,5.0
cô bắc,0.285,4.5,3.0
cô giang,0.233,6.0,2.0
cù chính lan,1.245,5.5,3.0
cầm bá thước,0.265,7.5,4.5
cần giuộc,0.85,7.5,4.5
cầu đỏ - túy loan,4.9,7.5,4.0
cẩm bắc 1,0.181,7.5,3.0
cẩm bắc 10,0.1,5.5,3.0
cẩm bắc 11,0.14,5.5,3.0
cẩm bắc 2,0.18,7.5,3.5
cẩm bắc 3,0.18,7.5,3.5
cẩm bắc 4,0.179,5.5,3.5
cẩm bắc 5,0.218,5.5,3.0
cẩm bắc 6,0.113,5.5,3.0
cẩm bắc 7,0.132,5.5,3.0
cẩm bắc 8,0.205,5.5,3.0
cẩm bắc 9,0.205,5.5,3.0
cẩm chánh 1,0.14,5.5,3.0
cẩm chánh 2,0.2,5.5,3.0
cẩm chánh 3,0.09,5.5,3.0
cẩm chánh 4,0.15,5.5,3.0
cẩm chánh 5,0.36,5.5,3.0
cẩm nam 1,0.18,5.5,3.0
cẩm nam 2,0.18,5.5,3.0
cẩm nam 3,0.1,5.5,3.0
cẩm nam 4,0.1,5.5,3.0
cẩm nam 5,0.14,5.5,3.0
cẩm nam 6,0.14,5.5,3.0
cẩm nam 7,0.18,5.5,3.0
cẩm nam 8,0.09,5.5,3.0
cẩm nam 9,0.1,5.5,3.0
cống quỳnh,0.65,5.5,3.0
cồn dầu 1,0.35,5.5,3.0
cồn dầu 10,0.12,5.5,3.0
cồn dầu 2,0.35,5.5,3.0
cồn dầu 3,0.275,5.5,3.0
cồn dầu 4,0.275,5.5,3.0
cồn dầu 5,0.09,5.5,3.0
cồn dầu 6,0.09,5.5,3.0
cồn dầu 7,0.09,5.5,3.0
cồn dầu 8,0.165,5.5,3.0
cồn dầu 9,0.105,5.5,3.0
cổ mân 1,0.1,5.5,3.0
cổ mân 2,0.12,5.5,3.0
cổ mân 3,0.09,5.5,3.0
cổ mân 4,0.07,3.75,2.0
cổ mân 5,0.07,3.75,2.0
cổ mân 6,0.07,3.75,2.0
cổ mân 7,0.09,3.75,2.0
cổ mân 8,0.175,11.0,4.0
cổ mân 9,0.14,7.5,4.0
cổ mân cúc 1,0.14,5.5,3.0
cổ mân cúc 2,0.245,5.5,3.0
cổ mân cúc 3,0.245,5.5,3.0
cổ mân cúc 4,0.14,5.5,3.0
cổ mân lan 1,0.085,5.5,3.0
cổ mân lan 2,0.085,5.5,3.0
cổ mân lan 3,0.085,5.5,3.0
cổ mân lan 4,0.16,5.5,3.0
cổ mân mai 1,0.16,5.5,3.0
cổ mân mai 2,0.16,5.5,3.0
cổ mân mai 3,0.14,5.5,3.0
cổ mân mai 4,0.14,5.5,3.0
cổ mân mai 5,0.16,5.5,3.0
doãn kế thiện,0.495,7.5,4.0
doãn uẩn,0.35,7.5,4.0
duy tân,1.78,21.0,6.0
dã tượng,0.195,10.5,3.0
dũng sĩ thanh khê,1.87,10.5,2.0
dương bá cung,0.36,5.5,3.0
dương bá trạc,0.3,5.5,3.0
dương bích liên,0.31,5.5,3.0
dương bạch mai,0.3,7.5,5.0
dương cát lợi,0.25,7.5,4.0
dương khuê,0.4,10.5,5.0
dương loan,1.32,9.0,4.5
dương lâm,0.57,5.5,3.0
dương quảng hàm,0.3,5.5,3.0
dương thanh,0.17,5.5,3.0
dương thưởng,0.23,5.0,2.0
dương thạc,0.3,7.5,4.5
dương thị xuân quý,0.305,10.5,5.0
dương trí trạch,0.58,5.5,3.0
dương tôn hải,0.38,5.5,3.0
dương tụ quán,0.27,5.5,3.0
dương tử giang,0.355,7.5,4.0
dương tự minh,0.345,15.0,5.0
dương vân nga,1.034,10.5,5.0
dương văn an,0.513,5.5,3.0
dương đình nghệ,1.58,7.5,4.5
dương đức hiền,0.46,5.5,3.0
dương đức nhan,0.28,5.5,3.0
f.h.loseby,0.575,10.5,7.5
giang châu 1,0.23,7.5,4.0
giang châu 2,0.12,7.5,4.0
giang châu 3,0.13,7.5,4.0
giang văn minh,0.3,5.5,5.0
giáp hải,0.32,5.5,3.0
giáp văn cương,0.72,5.5,3.0
hoa lư,0.964,5.5,3.0
hoà an 6,0.2,5.5,3.0
hoà an 7,0.14,5.5,3.0
hoà nam 6,0.19,7.5,4.0
hoài thanh,1.08,7.5,4.0
hoàng bình chính,0.375,7.5,4.0
hoàng bích sơn,0.74,7.5,4.0
hoàng bật đạt,0.23,7.5,4.5
hoàng châu ký,0.83,6.5,3.5
hoàng công chất,0.33,5.5,3.0
hoàng diệu,2.06,10.5,2.0
hoàng dư khương,0.49,7.5,4.0
hoàng hoa thám,0.49,8.5,2.0
hoàng kế viêm,0.84,7.5,4.0
hoàng minh giám,0.71,5.5,3.0
hoàng minh thảo,0.58,10.5,5.0
hoàng ngân,0.45,7.5,4.0
hoàng ngọc phách,0.283,5.5,3.0
hoàng quốc việt,0.55,7.5,4.0
hoàng sa,11.51,15.0,9.0
hoàng sâm,1.01,5.5,3.0
hoàng sĩ khải,0.355,7.5,4.0
hoàng thiều hoa,0.39,5.5,3.0
hoàng thúc trâm,0.422,5.5,3.0
hoàng thế thiện,0.8,7.5,4.0
hoàng thị loan,2.5,21.0,7.5
hoàng thị ái,0.45,7.5,4.0
hoàng trung thông,0.88,9.0,4.0
hoàng trọng mậu,0.32,7.5,4.5
hoàng tích trí,0.27,3.5,3.0
hoàng tăng bí,0.74,10.5,5.0
hoàng việt,0.18,5.5,3.0
hoàng văn hòe,0.34,7.5,4.5
hoàng văn lai,0.835,7.5,6.0
hoàng văn thái,6.42,21.0,5.0
hoàng văn thụ ,0.507,8.6,2.0
hoàng xuân hãn,0.391,10.5,5.0
hoàng xuân nhị,0.383,5.5,3.0
hoàng đình ái,1.44,7.5,4.0
hoàng đạo thành,0.55,5.5,5.0
hoàng đạo thúy,0.581,5.5,3.0
hoàng đức lương,0.49,7.5,4.5
huy cận,1.42,5.5,3.0
huy du,0.28,7.5,4.5
huyền trân công chúa,1.6,10.5,1.5
huỳnh bá chánh,0.4,6.0,1.0
huỳnh lý,0.565,3.5,3.0
huỳnh lắm,0.58,10.5,5.0
huỳnh mẫn đạt,0.21,5.5,3.0
huỳnh ngọc huệ,1.475,10.5,4.5
huỳnh thị bảo hòa,0.324,7.5,4.0
huỳnh thị một,0.53,5.5,3.0
huỳnh tấn phát,0.975,10.5,5.0
huỳnh tịnh của,1.395,5.5,3.0
huỳnh văn nghệ,0.58,10.5,5.0
huỳnh xuân nhị,0.5,7.5,4.0
hóa sơn 1,0.2,3.5,3.0
hóa sơn 2,0.18,3.5,3.0
hóa sơn 3,0.29,5.5,3.0
hóa sơn 4,0.115,3.5,3.0
hóa sơn 5,0.095,3.5,3.0
hóa sơn 6,0.275,3.5,3.0
hà bổng,0.388,7.5,4.0
hà chương,0.225,7.5,4.0
hà duy phiên,0.68,5.5,3.0
hà huy giáp,0.8,5.5,3.0
hà huy tập,0.6,10.5,2.0
hà hồi,1.27,5.5,3.0
hà khê,0.15,10.5,3.0
hà kỳ ngộ,0.57,15.0,7.5
hà mục,0.346,7.5,4.5
hà thị thân,0.35,7.5,4.0
hà tông huân,0.45,7.5,4.5
hà tông quyền,0.635,10.5,5.0
hà văn trí,0.225,5.5,1.5
hà văn tính,0.45,10.5,5.0
hà xuân 1,0.185,5.0,2.0
hà xuân 2,0.056,5.0,1.0
hà đông 1,0.17,7.5,4.0
hà đông 2,0.16,5.5,2.0
hà đông 3,0.09,5.5,2.0
hà đặc,0.45,3.75,3.0
hàm nghi,0.73,15.0,2.0
hàm trung 1,0.12,7.5,3.0
hàm trung 2,0.1,8.0,2.0
hàm trung 3,0.06,5.5,3.0
hàm trung 4,0.23,5.5,3.0
hàm trung 5,0.23,10.0,3.0
hàm trung 6,0.22,10.0,3.0
hàm trung 7,0.16,10.5,3.0
hàm trung 8,0.12,9.0,3.0
hàm trung 9,0.23,5.5,3.0
hàm tử,0.37,7.5,5.0
hàn mặc tử,1.0,6.0,0.0
hàn thuyên,1.06,7.5,4.5
hòa an 1,0.256,5.5,3.0
hòa an 10,0.1,3.75,3.0
hòa an 11,0.1,3.75,3.0
hòa an 12,0.08,3.75,3.0
hòa an 14,0.075,3.75,3.0
hòa an 15,0.08,3.75,3.0
hòa an 16,0.08,3.75,3.0
hòa an 17,0.08,3.75,3.0
hòa an 18,0.05,5.5,3.0
hòa an 19,0.16,7.5,3.0
hòa an 2,0.108,7.5,4.5
hòa an 3,0.182,5.5,3.0
hòa an 4,0.157,5.5,3.0
hòa an 5,0.168,5.5,3.0
hòa an 6,0.2,5.5,2.0
hòa an 7,0.2,5.5,2.0
hòa an 8,0.16,3.75,3.0
hòa an 9,0.16,3.75,3.0
hòa bình 1,0.25,5.5,3.0
hòa bình 2,0.19,5.5,3.0
hòa bình 3,0.16,5.5,3.0
hòa bình 4,0.23,5.5,3.0
hòa bình 5,0.28,7.5,4.0
hòa bình 6,0.18,5.5,3.0
hòa bình 7,0.19,5.5,3.0
hòa minh 1,0.285,5.5,3.0
hòa minh 10,0.144,5.5,3.0
hòa minh 11,0.144,5.5,3.0
hòa minh 12,0.14,5.5,3.0
hòa minh 14,0.235,5.5,3.0
hòa minh 15,0.235,5.5,3.0
hòa minh 16,0.14,5.5,3.0
hòa minh 17,0.14,5.5,3.0
hòa minh 18,0.13,5.5,3.0
hòa minh 19,0.13,5.5,3.0
hòa minh 2,0.3,5.5,3.0
hòa minh 20,0.082,5.5,3.0
hòa minh 21,0.13,5.5,3.0
hòa minh 22,0.13,5.5,3.0
hòa minh 23,0.105,5.5,3.0
hòa minh 3,0.23,5.5,3.0
hòa minh 4,0.145,5.5,3.0
hòa minh 5,0.145,5.5,3.0
hòa minh 6,0.145,5.5,3.0
hòa minh 7,0.164,5.5,3.0
hòa minh 8,0.164,5.5,3.0
hòa minh 9,0.14,5.5,3.0
hòa mỹ 1,0.18,5.5,3.0
hòa mỹ 2,0.11,3.75,3.0
hòa mỹ 3,0.11,3.75,3.0
hòa mỹ 4,0.11,3.75,3.0
hòa mỹ 5,0.15,3.75,3.0
hòa mỹ 6,0.175,5.5,3.0
hòa nam 1,0.17,5.5,3.0
hòa nam 10,0.155,10.5,4.0
hòa nam 11,0.19,5.5,3.0
hòa nam 12,0.24,5.5,3.0
hòa nam 14,0.12,5.5,3.0
hòa nam 2,0.19,5.5,3.0
hòa nam 3,0.11,5.5,3.0
hòa nam 4,0.18,5.5,3.0
hòa nam 5,0.19,7.5,3.0
hòa nam 7,0.15,5.5,3.0
hòa nam 8,0.07,5.5,3.0
hòa nam 9,0.19,5.5,3.0
hóa mỹ,0.18,5.5,3.0
