street,length,width,sidewalk
hóa sơn 10,0.27,7.5,4.0
hóa sơn 7,0.11,5.5,3.0
hóa sơn 8,0.16,5.5,3.0
hóa sơn 9,0.185,5.5,3.0
hùng vương,1.61,11.0,2.0
hưng hoá 1,0.14,3.75,3.0
hưng hoá 2,0.14,5.5,3.0
hưng hoá 3,0.09,5.5,3.0
hưng hoá 4,0.14,5.5,3.0
hưng hóa 5,0.085,5.5,3.0
hưng hóa 6,0.065,5.5,3.0
hưng hóa 7,0.085,5.5,3.0
hương hải thiền sư,0.53,7.5,4.0
hải hồ,1.655,6.0,2.0
hải phòng,2.12,10.5,4.0
hải sơn,0.175,5.5,2.0
hải triều,0.45,7.5,4.0
hằng phương nữ sĩ,0.69,7.5,4.5
hồ biểu chánh,0.414,5.5,3.0
hồ bá ôn,0.22,7.5,4.0
hồ huân nghiệp,0.665,5.5,3.0
hồ hán thương,1.8,15.0,6.0
hồ học lãm,0.25,7.7,4.6
hồ nghinh,1.945,15.0,7.5
hồ nguyên trừng,1.52,7.5,4.0
hồ phí tích,0.39,7.5,4.0
hồ quý ly,0.78,10.5,5.0
hồ sĩ dương,0.622,7.5,4.5
hồ sĩ phấn,0.32,7.5,4.0
hồ sĩ tân,0.6,7.5,4.0
hồ sĩ đống,0.29,5.5,3.0
hồ thấu,0.4,11.25,5.0
hồ trung lượng,0.46,7.5,4.0
hồ tông thốc,0.147,5.5,3.0
hồ tùng mậu,1.522,10.5,5.0
hồ tương,0.35,10.5,7.5
hồ tỵ,0.71,5.5,3.0
hồ xuân hương,0.95,21.0,2.0
hồ đắc di,0.223,7.5,4.0
hồng thái,0.41,5.5,3.5
kha vạng cân,0.93,7.5,4.0
khuê bắc 1,0.175,5.5,3.0
khuê bắc 2,0.08,5.5,3.0
khuê bắc 3,0.08,5.5,3.0
khuê mỹ tây 1,0.2,7.5,4.0
khuê mỹ tây 2,0.195,7.5,4.0
khuê mỹ tây 3,0.19,7.5,4.0
khuê mỹ tây 4,0.17,7.5,4.0
khuê mỹ tây 5,0.17,7.5,4.0
khuê mỹ đông 1,0.11,7.5,3.0
khuê mỹ đông 10,0.175,7.5,3.0
khuê mỹ đông 11,0.13,7.5,3.0
khuê mỹ đông 12,0.19,7.5,3.0
khuê mỹ đông 14,0.37,7.5,4.0
khuê mỹ đông 15,0.32,7.5,2.0
khuê mỹ đông 2,0.15,5.5,3.0
khuê mỹ đông 3,0.18,7.5,3.0
khuê mỹ đông 4,0.15,5.5,3.0
khuê mỹ đông 5,0.14,5.5,3.0
khuê mỹ đông 6,0.14,5.5,3.0
khuê mỹ đông 7,0.35,7.5,3.0
khuê mỹ đông 8,0.17,7.5,3.0
khuê mỹ đông 9,0.07,7.5,3.0
khuê đông,0.7,7.5,4.0
khái đông 1,0.14,5.5,4.5
khái đông 2,0.14,5.5,4.5
khái đông 3,0.13,5.5,4.5
khái đông 4,0.175,5.5,3.0
khúc hạo,1.945,10.5,5.0
khúc thừa dụ,1.16,10.5,5.0
khương hữu dụng,0.47,7.5,4.0
kim liên 1,0.17,7.5,0.0
kim liên 2,0.22,5.5,3.0
kim liên 3,0.13,5.5,3.0
kim đồng,0.65,7.5,4.0
kinh dương vương,2.111,15.0,5.0
kiều oánh mậu,0.34,7.5,4.5
kiều phụng,0.88,5.5,3.0
kỳ đồng,0.75,7.5,5.0
liêm lạc 1,0.2,7.5,4.0
liêm lạc 10,0.16,5.5,3.0
liêm lạc 11,0.16,5.5,3.0
liêm lạc 12,0.1,5.5,3.0
liêm lạc 14,0.1,5.5,3.0
liêm lạc 15,0.22,5.5,3.0
liêm lạc 16,0.225,5.5,3.0
liêm lạc 17,0.115,5.5,3.0
liêm lạc 18,0.24,5.5,3.0
liêm lạc 19,0.24,5.5,3.0
liêm lạc 2,0.14,5.5,3.0
liêm lạc 20,0.115,5.5,3.0
liêm lạc 21,0.23,5.5,3.0
liêm lạc 22,0.09,5.5,3.0
liêm lạc 3,0.14,5.5,3.0
liêm lạc 4,0.16,5.5,3.0
liêm lạc 5,0.16,5.5,3.0
liêm lạc 6,0.15,5.5,3.0
liêm lạc 7,0.15,5.5,3.0
liêm lạc 8,0.15,5.5,3.0
liêm lạc 9,0.14,5.5,3.0
liên lạc 24,0.12,7.5,4.0
liên lạc 25,0.16,5.5,3.0
lâm hoành,0.48,7.5,2.0
lâm nhĩ,0.514,5.5,3.0
lâm quang thự,0.368,5.5,4.5
lã xuân oai,0.335,7.5,4.0
lê a,0.26,5.5,3.0
lê anh xuân,0.315,5.5,3.0
lê bá trinh,0.305,7.5,3.5
lê bình,0.21,7.5,4.0
lê bôi,0.58,5.0,2.0
lê cao lãng,0.41,5.5,3.0
lê chân,0.66,7.5,4.0
lê công kiều,0.49,6.5,3.0
lê cơ,0.265,3.5,1.5
lê cảnh tuân,0.47,5.5,3.0
lê doãn nhạ,0.42,7.5,4.5
lê duy lương,0.32,7.5,4.5
lê duy đình,0.68,7.5,3.0
lê duẩn,2.223,15.0,4.5
lê hiến mai,1.32,7.5,3.0
lê hy,0.28,7.5,4.0
lê hy cát,0.5,7.5,5.0
lê hồng phong,0.591,7.0,3.0
lê hữu khánh,0.58,7.5,5.0
lê hữu kiều,0.29,5.5,3.0
lê hữu trác,0.65,5.5,2.0
lê khôi,0.21,5.5,3.0
lê khắc cần,0.2,5.5,2.0
lê kim lăng,0.69,7.5,4.5
lê lai,0.349,5.5,1.5
lê lâm,0.2,5.5,3.0
lê lộ,0.25,5.5,3.0
lê lợi,1.19,9.0,2.0
lê mạnh trinh,0.53,5.5,4.5
lê ngân,0.45,7.5,4.0
lê ngô cát,0.155,7.5,3.0
lê như hổ,0.73,7.5,4.0
lê ninh,0.28,5.5,3.0
lê nỗ,0.39,7.5,4.0
lê phụ trần,0.62,5.5,3.0
lê phụng hiểu,1.0,5.5,3.5
lê quang hòa,0.9,7.5,4.0
lê quang sung,0.245,7.5,2.0
lê quang đạo,1.05,7.5,5.0
lê quang định,0.765,5.5,3.0
lê quát,0.4,7.5,4.0
lê quý đôn,0.31425,7.0,3.0
lê quảng ba,0.42,5.5,4.0
lê quảng chí,0.37,7.5,4.0
lê sát,0.64,7.5,4.0
lê thanh nghị,2.135,10.5,9.0
lê thiết hùng,0.59,7.5,4.0
lê thiện trị,0.52,5.5,3.0
lê thiệt,0.46,5.5,3.0
lê thành phương,0.56,7.5,6.0
lê thánh tôn,0.193,10.5,2.0
lê thương,0.455,7.5,4.0
lê thước,0.45,5.5,3.0
lê thạch,1.11,9.0,4.0
lê thận,0.25,5.5,3.0
lê thị hồng gấm,0.377,5.5,3.0
lê thị riêng,0.38,5.5,3.0
lê thị tính,0.55,5.5,3.0
lê thị xuyến,0.3,4.5,3.0
lê trung đình,0.3,5.5,4.5
lê trọng tấn,1.09,10.5,1.0
lê trực,0.85,6.5,3.5
lê tấn toán,0.28,7.5,4.0
lê tấn trung,1.145,10.5,4.5
lê tự nhất thống ,0.63,7.5,4.0
lê văn an,0.248,5.5,3.0
lê văn duyệt,1.33,15.0,6.0
lê văn hiến,4.9,30.0,2.0
lê văn huân,0.36,5.5,3.0
lê văn hưu,0.465,10.5,5.0
lê văn linh,0.459,5.5,3.0
lê văn long,0.247,3.75,2.5
lê văn lương,1.49,15.0,7.5
lê văn miến,0.85,5.5,3.0
lê văn quý,0.65,12.0,5.0
lê văn sĩ,0.604,5.5,3.0
lê văn thiêm,0.302,5.5,3.0
lê văn thịnh,0.48,5.5,3.0
lê văn thủ,0.41,7.5,4.0
lê văn thứ,0.8,5.5,1.0
lê văn tâm,0.24,7.5,4.5
lê văn đức,0.32,7.5,4.0
lê vĩnh huy,0.31,4.0,2.0
lê vĩnh khanh,0.53,6.5,3.5
lê đình chinh,0.34,7.5,4.0
lê đình diên,0.32,5.5,3.0
lê đình dương,0.841,10.5,2.0
lê đình kỵ,0.45,7.5,3.0
lê đình lý,0.853,15.0,2.0
lê đình thám,0.27,10.5,2.0
lê đại,0.265,5.5,3.0
lê đại hành,1.69,21.0,6.5
lê đỉnh,0.98,5.5,3.0
lê độ,0.6,9.5,2.0
lê đức thọ,3.6,21.0,9.0
lý chính thắng,0.398,7.5,4.0
lý nam đế,0.5,10.5,2.0
lý nhân tông,0.782,7.5,4.5
lý nhật quang,0.86,10.5,4.0
lý thiên bảo,0.58,5.5,3.0
lý thái tông,1.19,15.0,6.0
lý thái tổ,0.37,11.0,2.0
lý thánh tông,0.19,5.5,3.0
lý thường kiệt,1.142,9.0,2.0
lý triện,1.0,8.0,4.5
lý tế xuyên,0.164,5.5,3.0
lý tử tấn,0.7,7.5,4.5
lý tự trọng,1.297,8.0,4.5
lý văn phức,0.6,5.5,3.0
lý văn tố,0.55,7.5,4.5
lý đạo thành,0.973,7.5,4.0
lư giang,0.685,7.5,4.0
lưu hữu phước,0.407,5.5,3.0
lưu nhân chú,0.156,5.5,3.0
lưu quang thuận,0.28,6.5,3.0
lưu quang vũ,4.0,5.5,1.0
lưu quý kỳ,0.455,5.5,1.5
lưu trọng lư,0.29,5.5,3.0
lưu văn lang,0.325,7.5,4.5
lưu đình chất,0.38,5.5,3.0
lương hữu khánh,0.68,5.5,3.0
lương khánh thiện,0.376,5.5,3.0
lương ngọc quyến,0.18,7.5,2.0
lương nhữ hộc,1.431,7.5,4.5
lương thúc kỳ,0.29,5.5,3.0
lương thế vinh,0.45,4.5,0.0
lương trúc đàm,0.675,10.5,5.0
lương văn can,0.332,7.5,3.5
lương đắc bằng,0.5,7.5,6.0
lương định của,0.437,10.5,5.0
lạc long quân,0.96,10.5,3.0
lỗ giáng 1,0.15,5.5,3.0
lỗ giáng 10,0.09,5.5,3.0
lỗ giáng 11,0.19,5.5,3.0
lỗ giáng 12,0.115,5.5,3.0
lỗ giáng 14,0.115,5.5,3.0
lỗ giáng 15,0.115,5.5,3.0
lỗ giáng 16,0.17,5.5,3.0
lỗ giáng 17,0.115,5.5,3.0
lỗ giáng 18,0.115,5.5,3.0
lỗ giáng 19,0.115,5.5,3.0
lỗ giáng 2,0.11,5.5,3.0
lỗ giáng 20,0.13,5.5,3.0
lỗ giáng 21,0.13,5.5,3.0
lỗ giáng 22,0.13,5.5,3.0
lỗ giáng 23,0.19,5.5,3.0
lỗ giáng 24,0.21,5.5,3.0
lỗ giáng 3,0.11,5.5,3.0
lỗ giáng 4,0.1,5.5,3.0
lỗ giáng 5,0.16,5.5,3.0
lỗ giáng 6,0.19,5.5,3.0
lỗ giáng 7,0.12,5.5,3.0
lỗ giáng 8,0.12,5.5,3.0
lỗ giáng 9,0.2,5.5,3.0
lộc ninh,0.46,7.5,4.0
lộc phước 1,0.09,5.5,3.0
mai am,0.46,8.0,4.0
mai an tiêm,0.38,5.5,3.0
mai anh tuấn,0.47,5.5,3.0
mai dị,0.38,5.0,2.0
mai hắc đế,0.46,10.5,2.0
mai lão bạng,0.8,3.8,2.0
mai văn ngọc,0.74,7.5,4.0
mai xuân thưởng,0.35,4.5,2.0
mai đăng chơn,3.0,15.0,1.0
man thiện,0.33,6.5,3.0
minh mạng,0.91,15.0,5.0
mân quang 1,0.16,5.5,3.0
mân quang 10,0.1,7.5,3.0
mân quang 11,0.14,7.5,3.0
mân quang 12,0.09,5.5,3.0
mân quang 14,0.14,5.5,3.0
mân quang 15,0.25,5.5,3.0
mân quang 16,0.08,5.5,3.0
mân quang 17,0.14,5.5,3.0
mân quang 18,0.08,5.5,3.0
mân quang 2,0.19,5.5,3.0
mân quang 3,0.14,5.5,3.0
mân quang 4,0.27,5.5,3.0
mân quang 5,0.19,7.5,3.0
mân quang 6,0.23,5.5,3.0
mân quang 7,0.23,5.5,3.0
mân quang 8,0.15,7.5,4.0
mân quang 9,0.15,7.5,3.0
mê linh,3.5,21.0,5.0
mạc cửu,0.495,7.5,4.0
mạc thiên tích,0.6,7.5,4.0
mạc thị bưởi,0.23,5.5,3.0
mạc đĩnh chi,0.206,5.5,1.2
mẹ hiền,0.22,5.5,3.0
mẹ nhu,0.3,6.0,3.0
mẹ thứ,2.43,9.0,4.5
mộc bài 1,0.16,5.5,3.0
mộc bài 2,0.09,5.5,3.0
mộc bài 3,0.08,5.5,3.0
mộc bài 4,0.27,5.5,3.0
mộc bài 5,0.21,7.5,4.5
mộc bài 6,0.12,5.5,3.0
mộc bài 7,0.195,5.5,3.0
mộc bài 8,0.165,5.5,3.0
mộc bài 9,0.115,5.5,3.0
mộc sơn 1,0.27,5.5,3.0
mộc sơn 2,0.18,5.5,3.0
mộc sơn 3,0.17,7.5,4.0
mộc sơn 4,0.13,10.5,5.0
mỹ an 1,0.12,5.5,3.0
mỹ an 10,0.15,5.5,3.0
mỹ an 11,0.124,5.5,3.0
mỹ an 12,0.124,5.5,3.0
mỹ an 14,0.121,5.5,3.0
mỹ an 15,0.146,5.5,3.0
mỹ an 16,0.14,5.5,3.0
mỹ an 17,0.238,7.5,4.0
mỹ an 18,0.255,5.5,3.0
mỹ an 19,0.12,3.5,3.0
mỹ an 2,0.11,5.5,3.0
mỹ an 20,0.132,5.5,3.0
mỹ an 21,0.155,5.5,3.0
mỹ an 22,0.12,7.5,3.0
mỹ an 23,0.2,5.5,3.0
mỹ an 24,0.12,5.5,3.0
mỹ an 25,0.12,5.5,3.0
mỹ an 3,0.12,5.5,3.0
mỹ an 4,0.13,5.5,3.0
mỹ an 5,0.114,5.5,3.0
mỹ an 6,0.098,5.5,3.0
mỹ an 7,0.275,5.5,3.0
mỹ an 8,0.125,5.5,3.0
mỹ an 9,0.1,5.5,3.0
mỹ khê 1,0.18,5.5,3.0
mỹ khê 2,0.19,5.5,3.0
mỹ khê 3,0.165,5.5,3.0
mỹ khê 4,0.33,5.5,3.0
mỹ đa tây 6,0.19,7.5,4.0
mỹ đa tây 7,0.095,7.5,4.0
mỹ đa tây 8,0.155,7.5,4.0
mỹ đa tây 9,0.18,5.5,4.0
mỹ đa đông 1,0.17,5.5,3.0
mỹ đa đông 10,0.24,5.5,1.0
mỹ đa đông 11,0.12,5.5,3.0
mỹ đa đông 12,0.3,5.5,2.0
mỹ đa đông 2,0.08,5.5,3.0
mỹ đa đông 3,0.17,5.5,3.0
mỹ đa đông 4,0.17,3.5,3.0
mỹ đa đông 5,0.13,3.5,3.0
mỹ đa đông 6,0.08,4.0,2.0
mỹ đa đông 7,0.14,4.0,2.0
mỹ đa đông 8,0.17,4.0,2.0
mỹ đa đông 9,0.33,5.5,3.0
n.morrison,0.725,7.5,4.5
nguyễn hanh,0.222,9.5,3.0
nam cao,0.53,7.5,1.0
nam kỳ khởi nghĩa,6.68,21.0,5.0
nam sơn 1,0.165,7.5,3.0
nam sơn 2,0.065,5.5,3.0
nam sơn 3,0.13,5.5,3.0
nam sơn 4,0.105,5.5,3.0
nam sơn 5,0.12,3.5,3.0
nam thành,0.3,5.5,3.0
nam thọ 1,0.178,5.5,3.0
nam thọ 2,0.178,5.5,3.0
nam thọ 3,0.18,5.5,3.0
nam thọ 4,0.18,5.5,3.0
nam thọ 5,0.18,5.5,3.0
nam thọ 6,0.105,5.5,3.0
nam trân,0.73,15.0,5.0
nghiêm xuân yêm,1.24,10.5,5.0
nguyên hồng,0.2,5.5,3.0
nguyễn an ninh,0.525,21.0,6.0
nguyễn biểu,0.2,5.5,3.0
nguyễn bá học,0.17,5.5,3.0
nguyễn bá lân,0.31,7.5,3.0
nguyễn bá ngọc,0.35,5.5,3.0
nguyễn bá phát,2.0,5.5,1.0
nguyễn bình,0.46,7.5,4.5
nguyễn bảo,0.78,5.5,3.0
nguyễn bỉnh khiêm,0.49,4.0,2.0
nguyễn cao,0.327,5.5,2.0
nguyễn cao luyện,0.205,5.5,3.0
nguyễn chu sĩ,0.31,10.0,3.0
nguyễn chánh,1.0,10.5,1.0
nguyễn chí diễu,0.405,7.5,4.0
nguyễn chí thanh,1.8307,10.5,2.0
nguyễn chích,0.23,5.5,3.0
nguyễn chế nghĩa,0.269,5.5,2.5
nguyễn công hoan,1.0,5.0,1.0
nguyễn công hãng,0.21,10.5,4.5
nguyễn công sáu,0.29,5.5,4.5
nguyễn công triều,0.315,7.5,3.0
nguyễn công trứ,2.32,10.5,2.0
nguyễn cơ thạch,1.01,7.5,4.5
nguyễn cư trinh,0.42,7.5,5.0
nguyễn cảnh chân,0.22,7.5,3.0
nguyễn cảnh dị,0.28,5.5,3.0
nguyễn cửu vân,0.56,7.5,5.0
nguyễn du,0.729,9.0,2.0
nguyễn duy,0.455,5.5,4.0
nguyễn duy cung,0.38,5.5,3.0
nguyễn duy hiệu,0.685,7.5,3.0
nguyễn duy trinh,5.2,10.5,2.0
nguyễn dục,0.37,7.5,4.5
nguyễn dữ,0.48,5.5,3.0
nguyễn gia thiều,0.12,4.0,2.0
nguyễn gia trí,0.18,6.0,2.5
nguyễn giản thanh,0.57,5.5,3.0
nguyễn hiền ,0.505,5.5,3.0
nguyễn hoàng,1.19,7.5,2.0
nguyễn huy chương,0.52,15.0,4.5
nguyễn huy lượng,0.254,5.5,2.0
nguyễn huy oánh,0.5,5.5,3.0
nguyễn huy tưởng,1.9,7.5,2.0
nguyễn huy tự,0.705,5.5,3.0
nguyễn hàm ninh,0.515,5.5,3.0
nguyễn hàng,0.43,5.5,3.0
nguyễn hàng chi,0.36,10.5,5.0
nguyễn hành,0.38,5.5,3.0
nguyễn hữu an,1.16,7.5,4.0
nguyễn hữu cảnh,0.4,5.5,3.0
nguyễn hữu cầu,0.585,7.5,4.5
nguyễn hữu dật,0.515,10.5,5.0
nguyễn hữu hào,0.48,5.5,3.0
nguyễn hữu thông,0.2,5.5,3.0
nguyễn hữu thận,0.385,5.5,2.0
nguyễn hữu thọ,4.68,21.0,6.0
nguyễn hữu tiến,0.68,10.5,5.0
nguyễn khang,0.41,5.5,3.0
nguyễn khoa chiêm,0.59,6.5,3.5
nguyễn khoái,0.407,7.5,4.5
nguyễn khuyến,0.64,6.0,1.5
nguyễn khánh toàn,0.822,5.5,3.0
nguyễn khả trạc,0.51,5.5,3.0
nguyễn khắc cần,0.28,7.5,4.0
nguyễn khắc nhu,0.448,7.5,3.0
nguyễn khắc viện,1.61,15.0,9.0
nguyễn kim,1.12,7.5,4.0
nguyễn kiều,0.25,7.5,3.0
nguyễn lai,0.275,5.5,3.0
nguyễn lâm,0.5,7.5,4.5
nguyễn lý,0.38,5.5,3.0
nguyễn lương bằng,0.2,21.0,2.0
nguyễn lộ trạch,0.75,7.5,4.5
nguyễn lữ,0.63,7.5,4.0
nguyễn minh châu,0.52,7.5,4.5
nguyễn minh chấn,0.3,7.5,4.0
nguyễn minh không,0.24,5.5,3.0
nguyễn mậu kiếm,0.455,10.5,5.0
nguyễn mậu tài,0.75,7.5,4.0
nguyễn mộng tuân,0.355,7.5,4.0
nguyễn mỹ,0.41,7.5,4.0
nguyễn nghiêm,0.18,5.5,3.0
nguyễn nghiễm,0.67,5.5,3.0
nguyễn nho túy,0.275,5.5,3.0
nguyễn nhàn,0.85,7.5,4.0
nguyễn như hạnh,0.9,6.0,1.0
nguyễn như đãi,0.6,6.0,2.0
nguyễn như đổ,0.93,6.0,3.0
nguyễn phan chánh,0.58,7.5,5.0
nguyễn phan vinh,0.95,7.0,2.0
nguyễn phi khanh,0.24,10.5,5.0
nguyễn phong sắc,1.665,7.5,4.0
nguyễn phú hường,1.57,7.5,3.0
nguyễn phước chu,0.8,10.0,1.5
nguyễn phước lan,1.31,21.0,10.0
nguyễn phước nguyên,2.15,6.5,1.25
nguyễn phước thái,0.53,7.5,3.0
nguyễn phước tần,0.732,15.0,6.0
nguyễn phạm tuân,0.73,5.5,3.0
nguyễn phẩm,0.284,5.5,3.0
nguyễn phục,0.64,10.5,4.0
nguyễn quang bích,0.278,5.5,3.0
nguyễn quang lâm,1.59,7.5,4.0
nguyễn quyền,0.5,5.5,4.5
nguyễn quý đức,0.562,5.5,3.0
nguyễn quốc trị,0.79,7.5,4.0
nguyễn sinh sắc,2.146,30.0,9.0
nguyễn sáng,0.464,10.5,5.0
nguyễn súy,0.2,5.5,3.0
nguyễn sĩ cố,0.41,7.5,4.0
nguyễn sơn,0.6,7.5,4.5
nguyễn sơn hà,0.2,5.5,3.0
nguyễn sơn trà,0.165,10.5,5.0
nguyễn sắc kim,0.65,7.5,4.0
nguyễn thanh năm,0.38,5.5,2.0
nguyễn thi,0.2,5.5,3.0
nguyễn thiếp,0.296,6.0,2.5
nguyễn thiện kế,0.785,5.5,4.0
nguyễn thiện thuật,0.225,5.5,3.0
nguyễn thuật,0.455,5.5,3.0
nguyễn thành hãn,0.36,5.5,2.0
nguyễn thành ý,0.3,5.5,3.0
nguyễn thái bình,0.56,7.5,4.0
nguyễn thái học,0.47,10.5,2.0
nguyễn thông,0.33,7.5,4.5
nguyễn thúy,0.577,7.5,4.0
nguyễn thượng hiền,0.5,4.5,3.0
nguyễn thần hiến,0.23,10.5,5.0
nguyễn thế kỷ,0.435,7.5,4.0
nguyễn thế lịch,0.74,5.5,3.0
nguyễn thế lộc,0.38,10.5,5.0
nguyễn thị ba,0.47,5.5,3.0
nguyễn thị bảy,0.32,5.5,3.0
nguyễn thị hồng,0.36,5.5,2.5
nguyễn thị minh khai,1.0028,10.5,2.0
nguyễn thị thập,0.7,7.5,4.0
nguyễn thị định,0.399,15.0,2.0
nguyễn thức tự,0.63,5.5,3.0
nguyễn thức đường,0.3,10.5,5.0
nguyễn tri phương,2.4,21.0,2.0
nguyễn trung ngạn,0.83,5.5,3.0
nguyễn trung trực,1.32,7.5,2.0
nguyễn trác,0.83,5.5,3.0
nguyễn trãi,0.17,7.3,2.0
nguyễn trường tộ ,0.21,4.0,0.0
nguyễn trọng hợp,0.43,7.5,4.0
nguyễn trọng nghĩa,0.4,5.5,3.0
nguyễn trực,0.615,7.5,4.5
nguyễn tuyển,0.365,5.5,3.0
nguyễn tuân,0.252,5.5,3.0
nguyễn tuấn thiện,0.55,7.5,4.5
nguyễn tư giản,0.63,5.5,3.0
nguyễn tường phổ,0.74,15.0,5.0
nguyễn tạo,0.3,5.5,4.5
nguyễn tất thành,11.0,21.0,10.0
nguyễn viết xuân,0.56,5.5,3.0
nguyễn văn bổng,0.396,7.5,4.0
nguyễn văn cừ,0.2,21.0,2.0
nguyễn văn giáp,0.23,5.5,3.0
nguyễn văn huyên,0.591,7.5,4.0
nguyễn văn huề,0.37,5.5,3.0
nguyễn văn hưởng,0.39,10.5,6.0
nguyễn văn linh,2.17,21.0,6.0
nguyễn văn nguyễn,0.6,21.0,7.5
nguyễn văn ngọc,0.85,7.5,4.0
nguyễn văn phương,0.11,5.5,3.0
nguyễn văn siêu,0.45,4.5,2.0
nguyễn văn thoại,1.155,15.0,2.0
nguyễn văn thủ,0.22,5.5,4.0
nguyễn văn trỗi ,1.95,10.5,2.0
nguyễn văn tạo,0.54,10.5,4.5
nguyễn văn tố,0.264,3.5,3.0
nguyễn văn tỵ,0.75,5.5,3.0
nguyễn văn vĩnh,1.455,7.5,4.0
nguyễn văn xuân,0.54,6.5,3.5
nguyễn xiển,0.81,7.5,4.5
nguyễn xuân hữu,0.785,5.5,3.0
nguyễn xuân khoát,0.78,5.5,3.0
nguyễn xuân nhĩ,0.455,7.5,4.5
nguyễn xuân ôn,0.37,5.5,3.0
nguyễn xí,1.22,10.5,5.0
nguyễn đình,0.51,6.5,3.5
nguyễn đình chiểu,1.1,3.5,1.25
nguyễn đình hiến,0.37,7.5,4.5
nguyễn đình hoàn,1.09,10.5,5.0
nguyễn đình trân,0.4,7.5,4.5
nguyễn đình trọng,0.52,10.5,4.5
nguyễn đình tứ,1.89,9.0,4.5
nguyễn đình tựu,1.12,10.5,7.5
nguyễn đóa,0.815,7.5,4.0
nguyễn đôn tiết,0.31,7.5,2.0
nguyễn đăng,0.345,5.5,3.0
nguyễn đăng giai,0.68,10.5,7.5
nguyễn đăng tuyển,0.35,5.5,3.0
nguyễn đăng đạo,0.51,6.5,3.5
nguyễn địa lô,0.273,5.5,3.0
nguyễn đổng chi,0.325,5.5,3.0
nguyễn đỗ cung,0.69,7.5,4.0
nguyễn đỗ mục,0.338,7.5,3.0
nguyễn đức an,0.44,6.5,4.5
nguyễn đức cảnh,0.443,5.5,3.0
nguyễn đức thiệu,0.41,5.5,3.0
nguyễn đức thuận,0.61,15.0,9.0
nguyễn đức trung,0.65,10.5,4.5
ngô cao lãng,0.67,15.0,4.5
ngô chi lan,0.5,5.0,3.0
ngô chân lưu,0.5,6.0,1.0
ngô gia khảm,0.43,5.5,2.0
ngô gia tự,0.715,10.5,2.0
ngô huy diễn,0.765,7.5,4.0
ngô mây,0.58,5.5,3.0
ngô nhân tịnh,0.32,5.5,3.0
ngô quang huy,0.13,7.5,4.0
ngô quyền,0.0,33.0,2.0
ngô sĩ liên,0.5,8.0,0.5
ngô thì hiệu,0.22,10.5,5.0
ngô thì hương,0.325,7.5,4.0
ngô thì nhậm,1.0,10.5,1.0
