street,length,width,sidewalk
ngô thì sĩ,0.84,7.5,4.0
ngô thì trí,0.26,5.5,3.0
ngô thế lân,0.35,7.5,3.5
ngô thế vinh,0.414,5.5,3.0
ngô thị liễu,0.284,5.5,3.0
ngô trí hòa,0.505,5.5,3.0
ngô tất tố,0.551,10.5,5.0
ngô viết hữu,0.32,7.5,4.0
ngô văn sở,0.47,10.5,7.5
ngô xuân thu,1.2,5.5,2.0
ngô đức kế,0.25,5.5,3.0
ngũ hành sơn,1.781,33.0,2.0
ngọc hân,0.35,4.5,2.5
ngọc hồi,1.23,5.5,3.0
nhân hòa 1,0.11,5.5,3.0
nhân hòa 2,0.11,5.5,3.0
nhân hòa 3,0.14,5.5,3.0
nhân hòa 4,0.1,5.5,3.0
nhân hòa 5,0.1,5.5,3.0
nhân hòa 6,0.17,5.5,3.0
nhân hòa 7,0.17,5.5,3.0
nhân hòa 8,0.36,5.5,3.0
nhân hòa 9,0.235,5.5,3.0
nhơn hòa 1,0.25,5.5,3.0
nhơn hòa 10,0.14,5.5,3.0
nhơn hòa 11,0.2,5.5,3.0
nhơn hòa 12,0.12,5.5,3.0
nhơn hòa 14,0.15,5.5,3.0
nhơn hòa 15,0.09,5.5,3.0
nhơn hòa 16,0.215,5.5,3.0
nhơn hòa 17,0.215,5.5,3.0
nhơn hòa 18,0.16,5.5,3.0
nhơn hòa 19,0.21,5.5,3.0
nhơn hòa 2,0.19,5.5,3.0
nhơn hòa 20,0.21,5.5,3.0
nhơn hòa 21,0.21,5.5,3.0
nhơn hòa 22,0.21,5.5,3.0
nhơn hòa 3,0.27,5.5,3.0
nhơn hòa 4,0.27,5.5,3.0
nhơn hòa 5,0.14,5.5,3.0
nhơn hòa 6,0.25,5.5,3.0
nhơn hòa 7,0.17,5.5,3.0
nhơn hòa 8,0.1,5.5,3.0
nhơn hòa 9,0.27,5.5,3.0
nhơn hòa phước 1,0.08,5.5,3.0
nhơn hòa phước 2,0.07,3.75,3.0
nhơn hòa phước 3,0.06,3.75,3.0
nhơn hòa xuân,0.36,5.5,3.0
như nguyệt,1.55,15.0,3.0
nhất chi mai,0.37,7.5,4.0
ninh tốn,0.33,10.5,7.5
non nước,0.84,7.5,4.0
núi thành,3.265,10.5,2.0
nơ trang lơng,0.165,5.5,3.0
nước mặn 1,0.225,7.5,4.0
nước mặn 2,0.3,7.5,4.0
nước mặn 3,0.23,7.5,4.0
nước mặn 4,0.13,7.5,4.0
nước mặn 5,0.3,7.5,4.0
nại hiên đông 1,0.114,5.5,3.0
nại hiên đông 10,0.117,5.5,3.0
nại hiên đông 11,0.18,5.5,3.0
nại hiên đông 12,0.185,5.5,3.0
nại hiên đông 14,0.185,5.5,3.0
nại hiên đông 15,0.185,5.5,3.0
nại hiên đông 16,0.15,5.5,3.0
nại hiên đông 17,0.065,5.5,3.0
nại hiên đông 18,0.07,5.5,3.0
nại hiên đông 2,0.14,5.5,3.0
nại hiên đông 3,0.114,5.5,3.0
nại hiên đông 4,0.114,5.5,3.0
nại hiên đông 5,0.247,5.5,3.0
nại hiên đông 6,0.115,5.5,3.0
nại hiên đông 7,0.115,5.5,3.0
nại hiên đông 8,0.124,5.5,3.0
nại hiên đông 9,0.185,5.5,3.0
nại hưng 1,0.21,7.5,4.5
nại hưng 2,0.14,5.5,3.0
nại nam,1.09,7.5,9.0
nại nghĩa 1,0.16,3.75,2.0
nại nghĩa 2,0.08,3.75,2.0
nại nghĩa 3,0.11,3.75,2.0
nại nghĩa 4,0.1,3.75,2.0
nại nghĩa 5,0.135,3.75,2.0
nại nghĩa 6,0.15,3.75,2.0
nại nghĩa 7,0.25,3.75,3.0
nại thịnh 1,0.22,4.0,3.0
nại thịnh 10,0.12,5.5,3.0
nại thịnh 11,0.175,7.5,3.0
nại thịnh 2,0.22,4.0,3.0
nại thịnh 3,0.13,3.75,2.0
nại thịnh 4,0.1,3.75,2.0
nại thịnh 5,0.26,5.5,3.0
nại thịnh 6,0.17,5.5,3.0
nại thịnh 7,0.17,5.5,3.0
nại thịnh 8,0.06,5.5,3.0
nại thịnh 9,0.15,5.5,3.0
nại tú 1,0.25,3.75,2.0
nại tú 2,0.125,7.5,3.0
nại tú 3,0.05,5.5,3.0
nại tú 4,0.06,7.5,3.0
phan trọng tuệ,0.92,5.5,3.0
pasteur,0.345,10.5,6.0
phan anh,0.568,7.5,4.5
phan bá phiến,0.85,5.5,1.0
phan bá vành,0.995,10.5,5.0
phan bôi,0.565,5.5,1.5
phan bội châu,0.429,7.0,5.0
phan châu trinh,1.733,9.0,2.0
phan huy chú,0.2,6.0,2.0
phan huy thực,0.33,7.5,4.0
phan huy ích,0.35,4.5,2.5
phan huy ôn,0.3,5.5,3.0
phan hành sơn,0.38,15.0,6.0
phan khoang,0.75,7.5,3.0
phan khôi,1.175,7.5,4.0
phan kế bính,0.8,5.5,5.0
phan liêm,0.2,7.5,4.0
phan ngọc nhân,0.38,7.5,5.0
phan nhu,0.32,6.5,3.0
phan phu tiên,0.435,5.5,2.5
phan sĩ thực,0.43,5.5,3.0
phan thanh,0.75,7.8,2.0
phan thao,0.615,10.5,5.0
phan thành tài ,0.2,7.5,0.7
phan thúc duyện,0.5,5.5,1.0
phan thúc trực,0.79,5.5,3.0
phan thị nể,0.54,5.5,3.0
phan triêm,1.06,7.5,4.0
phan tòng,0.24,7.5,4.5
phan tôn,0.48,7.5,4.0
phan tốn,0.38,7.5,4.0
phan tứ,0.85,10.5,1.5
phan văn hớn,0.26,7.5,4.5
phan văn thuật,0.37,7.5,4.5
phan văn trường,0.59,5.5,3.0
phan văn trị,0.565,5.5,3.0
phan văn đáng,1.59,7.5,4.5
phan văn đạt,0.375,7.5,3.5
phan văn định,1.5,10.5,2.0
phan xích long,0.445,10.5,5.0
phan đình giót,0.951,7.5,4.5
phan đình phùng,0.5,10.5,2.0
phan đình thông,0.74,5.5,3.0
phan đăng lưu,1.768,14.0,5.0
phong bắc 1,0.21,5.5,3.0
phong bắc 10,0.06,5.5,3.0
phong bắc 11,0.21,8.0,3.0
phong bắc 12,0.2,5.5,3.0
phong bắc 14,0.13,7.5,4.0
phong bắc 15,0.1,5.5,3.0
phong bắc 16,0.08,5.5,3.0
phong bắc 17,0.09,5.5,3.0
phong bắc 18,0.11,5.5,3.0
phong bắc 19,0.09,5.5,3.0
phong bắc 2,0.14,5.5,3.0
phong bắc 20,0.25,5.5,3.0
phong bắc 3,0.13,5.5,3.0
phong bắc 4,0.16,5.5,3.0
phong bắc 5,0.14,5.5,3.0
phong bắc 6,0.13,5.5,3.0
phong bắc 7,0.185,5.5,3.0
phong bắc 8,0.18,5.5,3.0
phong bắc 9,0.1,5.5,3.0
phó đức chính,0.85,5.5,1.5
phù đổng,1.485,5.5,3.0
phùng chí kiên,0.492,5.5,2.5
phùng hưng,1.08,10.5,5.0
phùng khắc khoan,0.15,4.0,2.0
phùng tá chu,0.43,6.5,3.5
phú lộc 1,0.22,5.5,3.0
phú lộc 10,0.2,5.5,2.5
phú lộc 11,0.1,5.5,3.0
phú lộc 12,0.1,5.5,3.5
phú lộc 14,0.14,5.5,3.0
phú lộc 15,0.17,5.5,3.0
phú lộc 16,0.15,5.5,3.0
phú lộc 17,0.15,5.5,3.0
phú lộc 18,0.15,5.5,3.0
phú lộc 19,0.185,5.0,2.5
phú lộc 2,0.26,5.5,3.0
phú lộc 20,0.15,5.5,3.0
phú lộc 21,0.125,5.5,3.0
phú lộc 3,0.26,5.5,3.0
phú lộc 4,0.18,5.5,3.0
phú lộc 5,0.18,5.5,3.0
phú lộc 6,0.08,5.5,3.0
phú lộc 7,0.12,3.5,2.0
phú lộc 8,0.14,5.5,3.0
phú lộc 9,0.14,5.5,3.0
phú thạnh 1,0.13,5.5,3.0
phú thạnh 2,0.16,5.5,3.0
phú thạnh 3,0.1,5.5,3.0
phú thạnh 4,0.16,5.5,3.0
phú thạnh 5,0.11,5.5,3.0
phú thạnh 6,0.08,5.5,3.0
phú thạnh 7,0.285,10.5,5.0
phú thạnh 8,0.16,5.5,3.0
phú xuân 1,0.16,6.0,3.0
phú xuân 2,0.16,6.0,3.0
phú xuân 3,0.16,7.5,4.5
phú xuân 4,0.16,5.5,3.0
phú xuân 5,0.16,5.5,3.0
phú xuân 6,0.06,5.5,3.0
phú xuân 7,0.09,5.5,3.0
phú xuân 8,0.08,5.5,3.0
phước hòa 1,0.08,5.5,3.0
phước hòa 2,0.22,5.5,3.0
phước hòa 3,0.08,5.5,3.0
phước hòa 4,0.18,5.0,1.5
phước hòa 5,0.16,5.0,1.5
phước mỹ 1,0.2,3.5,4.0
phước mỹ 2,0.15,3.5,3.0
phước mỹ 3,0.2,5.5,3.0
phước mỹ 4,0.085,3.75,2.0
phước trường 1,0.18,7.5,3.5
phước trường 10,0.18,7.5,4.5
phước trường 11,0.15,5.5,3.0
phước trường 12,0.11,5.5,3.0
phước trường 14,0.13,5.5,3.0
phước trường 15,0.155,5.5,3.0
phước trường 16,0.13,5.5,3.0
phước trường 17,0.19,5.5,3.0
phước trường 2,0.18,5.5,3.0
phước trường 3,0.12,5.5,3.0
phước trường 4,0.19,5.5,3.0
phước trường 5,0.08,5.5,3.0
phước trường 6,0.07,5.5,3.0
phước trường 7,0.09,5.5,3.0
phước trường 8,0.08,5.5,3.0
phước trường 9,0.08,5.5,3.0
phước tường 1,0.32,5.5,3.0
phước tường 10,0.09,5.5,3.0
phước tường 2,0.27,5.5,3.0
phước tường 3,0.15,5.5,3.0
phước tường 4,0.1,5.5,3.0
phước tường 5,0.415,5.5,3.0
phước tường 6,0.15,5.5,3.0
phước tường 7,0.08,5.5,3.0
phước tường 8,0.37,5.5,3.0
phước tường 9,0.2,5.5,3.0
phạm bành,0.23,5.5,3.0
phạm bằng,0.505,10.5,4.5
phạm công trứ,0.42,5.5,3.0
phạm cự lượng,1.5,7.5,4.0
phạm huy thông,0.97,10.5,5.0
phạm hùng,3.0,15.0,6.0
phạm hồng thái,0.251,6.0,2.0
phạm hữu kính,0.435,7.5,5.0
phạm hữu nghi,1.07,11.0,4.0
phạm hữu nhật,0.6,15.0,9.0
phạm khiêm ích,0.39,5.5,3.0
phạm kiệt,0.36,10.5,4.5
phạm ngũ lão,0.185,3.5,0.0
phạm ngọc mậu,0.83,6.5,3.0
phạm ngọc thạch,0.385,5.5,3.0
phạm như hiền,0.715,5.5,3.0
phạm như xương,1.82,10.5,1.5
phạm nhữ tăng,1.3,7.5,3.0
phạm nổi,0.15,6.0,0.0
phạm phú thứ,0.116,5.8,1.1
phạm phú tiết,0.52,7.5,4.0
phạm quang ảnh,0.735,5.5,3.0
phạm sư mạnh,0.25,5.5,3.0
phạm thiều,0.34,5.5,4.5
phạm thận duật,0.65,5.5,3.0
phạm thế hiển,0.32,5.5,3.0
phạm thị lam anh,0.63,5.5,3.0
phạm tu,0.375,5.5,3.0
phạm tuấn tài,0.45,10.5,5.0
phạm tứ,0.825,10.5,5.0
phạm vinh,0.4,5.5,3.0
phạm viết chánh,0.63,7.5,4.0
phạm văn bạch,0.467,5.5,3.0
phạm văn nghị,0.556,7.0,2.0
phạm văn ngôn,0.29,10.5,4.5
phạm văn tráng,0.45,7.5,3.0
phạm văn xảo,1.59,10.5,4.5
phạm văn đồng,1.605,30.0,2.0
phạm vấn,0.788,7.5,4.0
phạm đình hổ,0.43,7.5,3.5
phạm đức nam,0.98,7.5,4.0
phần lăng 1,0.25,3.5,1.5
phần lăng 10,0.077,5.5,3.0
phần lăng 11,0.125,5.5,3.0
phần lăng 12,0.13,5.5,3.0
phần lăng 14,0.185,5.5,3.0
phần lăng 15,0.095,5.5,3.0
phần lăng 16,0.075,5.5,3.0
phần lăng 17,0.13,5.5,3.0
phần lăng 18,0.13,5.5,3.0
phần lăng 19,0.185,7.5,4.0
phần lăng 2,0.15,6.5,3.5
phần lăng 3,0.11,3.5,1.5
phần lăng 4,0.06,3.5,1.5
phần lăng 5,0.11,3.5,1.5
phần lăng 6,0.16,5.5,3.0
phần lăng 7,0.17,5.5,3.0
phần lăng 8,0.17,5.5,3.0
phần lăng 9,0.245,5.5,3.0
phục đán,0.08,5.5,2.5
quang dũng,0.23,5.5,3.0
quang thành 1,0.1,5.5,3.0
quang thành 2,0.14,5.5,3.0
quang trung,1.78,10.5,2.0
quy mỹ,1.07,7.5,4.5
quách xân,0.52,7.5,3.0
quán khái 1,0.1,5.5,3.0
quán khái 10,0.295,7.5,6.0
quán khái 11,0.285,7.5,6.0
quán khái 12,0.325,7.5,6.0
quán khái 2,0.15,5.5,3.0
quán khái 3,0.14,5.5,3.0
quán khái 4,0.16,5.5,3.0
quán khái 5,0.125,5.5,3.0
quán khái 6,0.11,5.5,3.0
quán khái 7,0.09,5.5,3.0
quán khái 8,0.125,5.5,3.0
quán khái 9,0.23,7.5,6.0
song hào,0.7,15.0,7.5
suối đá 1,0.13,5.5,3.0
suối đá 2,0.155,5.5,3.0
suối đá 3,0.155,5.5,3.0
sơn thuỷ 1,0.18,7.5,5.0
sơn thuỷ 10,0.09,3.5,3.0
sơn thuỷ 11,0.18,5.5,3.0
sơn thuỷ 2,0.18,5.5,3.0
sơn thuỷ 3,0.275,5.5,3.0
sơn thuỷ 4,0.16,3.5,3.0
sơn thuỷ 5,0.09,3.5,3.0
sơn thuỷ 6,0.12,3.5,3.0
sơn thuỷ 7,0.13,3.5,3.0
sơn thuỷ 8,0.32,3.5,3.0
sơn thuỷ 9,0.08,3.5,3.0
sơn thủy 12,0.17,5.5,3.0
sơn thủy đông 1,0.19,5.5,3.0
sơn thủy đông 2,0.19,7.5,4.0
sơn thủy đông 3,0.19,5.5,3.0
sơn thủy đông 4,0.19,5.5,3.0
sư vạn hạnh,0.54,15.0,0.5
sương nguyệt anh,0.35,3.5,3.0
sử hy nhan,0.41,5.5,3.0
tiên sơn 1,0.15,5.5,3.0
tiên sơn 10,0.14,5.5,3.0
tiên sơn 11,0.11,7.5,4.5
tiên sơn 12,0.21,3.75,3.0
tiên sơn 14,0.17,5.5,3.0
tiên sơn 15,0.17,5.5,3.0
tiên sơn 16,0.095,5.5,3.0
tiên sơn 17,0.11,5.5,3.0
tiên sơn 18,0.23,5.5,3.0
tiên sơn 19,0.185,5.5,3.0
tiên sơn 2,0.275,3.75,3.0
tiên sơn 20,0.19,5.5,3.0
tiên sơn 3,0.085,3.75,3.0
tiên sơn 4,0.1,5.5,3.0
tiên sơn 5,0.1,3.75,3.0
tiên sơn 6,0.1,3.75,3.0
tiên sơn 7,0.19,5.5,3.0
tiên sơn 8,0.33,5.5,3.0
tiên sơn 9,0.24,5.5,3.0
trần đức thảo,0.52,7.5,4.5
thanh duyên ,0.25,5.0,1.5
thanh huy 1,0.14,5.5,3.0
thanh huy 2,0.15,5.5,3.0
thanh huy 3,0.15,5.5,3.0
thanh hóa,1.22,10.5,5.0
thanh hải,0.926,5.5,2.5
thanh khê 6,0.06,10.5,3.0
thanh long,0.825,5.5,2.5
thanh lương 1,0.12,7.5,4.0
thanh lương 2,0.11,7.5,4.0
thanh lương 3,0.11,7.5,4.0
thanh lương 4,0.11,7.5,4.0
thanh sơn,0.578,7.0,3.0
thanh thủy,1.013,7.0,3.0
thanh tịnh,0.625,10.5,5.0
thanh vinh 1,0.35,3.5,3.0
thanh vinh 10,1.04,3.5,3.0
thanh vinh 11,0.2,3.5,3.0
thanh vinh 12,0.19,3.5,3.0
thanh vinh 14,0.185,3.5,3.0
thanh vinh 15,0.1,3.5,3.0
thanh vinh 16,0.11,3.5,3.0
thanh vinh 17,0.06,5.5,3.0
thanh vinh 2,0.13,3.5,2.0
thanh vinh 3,0.05,3.5,3.0
thanh vinh 4,0.41,3.5,2.0
thanh vinh 5,0.28,3.5,3.0
thanh vinh 6,0.08,3.5,3.0
thanh vinh 7,0.06,3.5,3.0
thanh vinh 8,0.455,3.5,3.0
thanh vinh 9,0.09,3.5,3.0
thi sách,0.32,6.0,2.0
thu bồn,0.65,5.5,3.0
thuận an 1,0.105,4.0,1.5
thuận an 2,0.147,4.0,1.5
thuận an 3,0.096,4.0,1.5
thuận an 4,0.1,4.0,1.5
thuận an 5,0.065,4.0,1.5
thuận an 6,0.145,7.5,3.0
thành thái,0.548,10.5,5.0
thành vinh 1,0.26,5.5,3.0
thành vinh 2,0.5,5.5,3.0
thành vinh 3,0.58,5.5,3.0
thành vinh 4,0.29,5.5,3.0
thành vinh 5,0.125,5.5,3.0
thành điện hải,0.08,15.0,5.0
thái phiên,0.507,9.0,5.0
thái thị bôi,1.07,7.5,2.0
thái văn a,0.52,5.5,3.0
thân công tài,0.49,5.5,3.0
thân cảnh phúc,0.443,5.5,3.0
thân nhân trung,0.2,5.5,3.0
thép mới,0.39,6.5,3.5
thích phước huệ,0.38,7.5,4.0
thích quảng đức,0.445,10.5,4.5
thích thiện chiếu,0.37,5.5,3.0
thôi hữu,0.25,5.5,3.0
thúc tề,0.36,5.5,3.0
thăng long,6.15,10.5,9.0
thượng đức,0.46,7.5,4.0
thạch lam,0.3,5.5,0.0
thạch sơn 1,0.265,5.5,3.0
thạch sơn 2,0.23,5.5,3.0
thạch sơn 3,0.23,5.5,3.0
thạch sơn 4,0.11,5.5,3.0
thạch sơn 5,0.17,5.5,3.0
thạch sơn 6,0.265,5.5,3.0
thạch sơn 7,0.265,5.5,3.0
thế lữ,1.12,5.5,3.0
thổ sơn 1,0.43,5.5,2.0
thổ sơn 2,0.11,5.5,2.5
thủ khoa huân,0.18,6.0,0.0
thủy sơn 1,0.21,7.5,4.5
thủy sơn 2,0.13,7.5,4.5
thủy sơn 3,0.21,7.5,4.5
thủy sơn 4,0.325,7.5,4.5
thủy sơn 5,0.325,7.5,4.5
thủy sơn 6,0.21,7.5,4.5
tiểu la,1.16,10.5,5.0
triệu nữ vương,0.78,9.0,2.0
triệu quốc đạt,0.485,5.5,3.0
triệu việt vương,0.4,10.5,2.0
trung hòa 1,0.16,5.5,3.0
trung hòa 2,0.12,5.5,3.0
trung hòa 3,0.13,5.5,3.0
trung hòa 4,0.14,5.5,3.0
trung hòa 5,0.1,5.5,3.0
trung lương 1,0.09,5.5,3.0
trung lương 2,0.28,5.5,3.0
trung lương 3,0.165,5.5,3.0
trung lương 4,0.105,5.5,3.0
trung lương 5,0.13,5.5,3.0
trung lương 6,0.11,7.5,4.0
trung lương 7,0.11,7.5,4.0
trung nghĩa 1,0.15,5.5,3.0
trung nghĩa 2,0.14,5.5,3.0
trung nghĩa 3,0.11,5.5,3.0
trung nghĩa 4,0.29,5.5,3.0
trung nghĩa 5,0.11,5.5,3.0
trung nghĩa 6,0.12,5.5,3.0
trung nghĩa 7,0.285,5.5,3.0
trung nghĩa 8,0.16,5.5,3.0
trung nghĩa 9,0.305,7.5,4.0
trà khê 1,0.2,5.5,3.0
trà khê 2,0.165,5.5,3.0
trà khê 3,0.205,7.5,4.5
trà khê 4,0.17,5.5,3.0
trà khê 5,0.235,10.5,5.0
trà khê 6,0.25,7.5,4.5
trà khê 7,0.235,7.5,4.5
trà khê 8,0.075,5.5,3.0
trà khê 9,0.11,5.5,3.0
trà lộ,0.67,6.5,4.0
trà na 1,0.17,5.5,3.0
trà na 2,0.16,5.5,3.0
trà na 3,0.23,5.5,3.0
trưng nhị,0.24,5.5,3.0
trưng nữ vương,2.972,9.2,2.0
trương chí cương,0.29,8.0,2.0
trương công hy,0.28,7.5,4.0
trương gia mô,0.405,10.5,7.0
trương hán siêu,0.26,7.5,3.5
trương minh giảng,0.38,7.5,5.0
trương quang giao,0.575,5.5,3.0
trương quyền,0.385,7.5,3.5
trương quốc dụng,0.315,7.5,4.0
trương vân lĩnh,0.49,5.5,3.0
trương văn hiến,0.24,7.5,4.5
trương văn đa,0.27,7.5,4.5
trương vĩnh ký,1.71,9.0,4.5
trương đăng quế,0.64,5.5,3.0
trương định,0.65,6.0,1.5
trường chinh,5.6,21.0,2.0
trường sa,6.54,15.0,9.0
trường sơn,5.38,21.0,10.0
trần anh tông,0.55,10.5,5.0
trần bình trọng ,0.416,7.0,2.0
trần bích san,0.751,5.5,3.0
trần bạch đằng,1.21,10.5,5.0
trần can,0.33,7.5,4.0
trần cao vân,3.97,10.5,2.0
trần cừ,0.3,7.5,4.0
trần dữu dực,0.69,15.0,5.0
trần hoành,0.4,4.5,1.0
trần huy liệu,0.7,7.5,2.5
trần huấn,0.415,10.5,6.0
trần hưng đạo,5.0,15.0,2.0
trần hữu duẩn,0.52,5.5,3.0
trần hữu trang,0.3,5.5,3.0
trần hữu tước,0.28,10.5,6.0
trần hữu độ,0.25,10.5,5.0
trần khánh dư,0.5,5.5,0.0
trần khát chân,0.608,5.5,3.0
trần kim bảng,0.15,5.5,3.0
trần kế xương,0.192,7.0,3.0
trần lê,1.2,7.5,4.0
trần lựu,0.38,5.5,3.0
trần mai ninh,0.16,5.5,3.0
trần nam trung,1.815,15.0,9.0
trần nguyên hãn,0.75,10.5,7.5
trần nguyên đán,1.0,10.5,6.0
trần ngọc sương,0.38,7.5,4.0
trần nhân tông,2.56,15.0,5.0
trần nhật duật,0.47,5.0,0.0
trần phú,2.455,10.5,2.0
trần phước thành,0.52,10.5,4.0
trần quang diệu,0.36,7.5,2.0
trần quang khải,0.72,6.0,2.0
trần quý cáp,0.46,9.0,2.0
trần quý hai,0.83,6.5,3.5
trần quý khoách,0.835,5.5,3.0
trần quốc hoàn,0.61,15.0,7.5
trần quốc thảo,0.94,7.5,4.0
trần quốc toản,0.46,9.0,2.0
trần quốc vượng,1.26,7.5,5.0
trần sâm,1.095,7.5,4.0
trần thanh mại,0.36,5.5,3.0
trần thanh trung,0.15,10.5,4.0
trần thuyết,0.25,5.5,3.0
trần thái tông,0.5,9.0,2.0
trần thánh tông,1.415,21.0,4.5
trần thúc nhẫn,0.42,7.5,4.0
trần thị lý,1.8,22.5,2.0
trần trọng khiêm,0.64,10.5,6.0
trần tấn,0.63,7.5,3.0
trần tấn mới,0.56,5.5,2.0
trần tống,0.282,5.5,3.0
trần tử bình,1.825,10.5,5.0
trần viện,0.71,7.5,4.0
trần văn cẩn,0.48,5.5,3.0
trần văn giàu,1.0,5.5,3.0
trần văn giáp,0.3,5.5,3.0
trần văn giảng,0.585,5.5,3.0
trần văn hai,0.65,7.5,4.0
trần văn kỷ,0.22,10.5,5.0
trần văn lan,0.71,5.5,3.0
trần văn thành,0.17,7.5,3.0
trần văn trà,0.91,10.5,5.0
trần văn trứ,0.79,10.5,5.0
trần văn đang,0.2,5.5,3.0
trần văn đán,0.96,11.5,5.0
trần văn ơn,0.67,7.5,3.5
trần xuân hòa,0.32,5.5,3.0
trần xuân lê,0.975,5.5,3.0
trần xuân soạn,0.357,5.5,3.0
trần đình long,0.32,5.5,3.0
trần đình nam,0.78,10.5,3.0
trần đình phong,0.31,3.5,3.0
trần đình tri,0.767,10.5,5.0
trần đình đàn,0.5,7.5,4.5
trần đăng ninh,0.455,15.0,7.5
trần đại nghĩa,3.4,30.0,2.0
trần đức,0.29,10.5,5.0
trần đức thông,0.55,5.5,3.0
trịnh công sơn,0.55,10.5,5.0
trịnh hoài đức,0.36,3.5,3.0
trịnh khả,0.26,5.5,3.0
trịnh khắc lập,0.42,7.5,3.0
trịnh lỗi,0.57,7.5,4.0
trịnh quang xuân,0.72,5.5,3.0
trịnh đình thảo,0.61,15.0,7.5
trừ văn thố,0.43,5.5,3.0
tuy lý vương,0.3,7.5,4.0
tuệ tĩnh,0.138,5.5,3.0
tân an 2,0.15,5.5,3.0
tân an 3,0.15,5.5,3.0
tân an 1,0.11,5.5,3.0
tân an 4,0.14,7.5,4.0
tân hòa 1,0.08,5.5,2.0
tân hòa 10,0.155,5.5,3.0
tân hòa 2,0.08,5.5,2.0
tân hòa 3,0.08,5.5,2.0
tân hòa 4,0.08,5.5,3.0
tân hòa 5,0.11,5.5,3.0
tân hòa 6,0.09,5.5,3.0
tân hòa 7,0.12,5.5,3.0
